id feature_1 feature_2 feature_3 EAD exposure_class
1 3 4 2 12450 0
2 2 3 5 18920 1
3 5 6 1 25330 2
4 4 5 3 31200 3
5 1 2 4 9870 0
6 3 4 2 14560 1
7 4 5 3 22140 2
8 2 3 1 28450 3
9 5 6 4 35670 4
10 3 4 2 11230 0
11 4 5 3 19480 1
12 2 3 1 26750 2
13 5 6 4 33920 3
14 1 2 5 8940 0
15 3 4 2 15680 1
16 4 5 3 23450 2
17 5 6 1 30120 4
18 2 3 4 37890 0
19 3 4 2 13670 1
20 4 5 3 21340 2
21 5 6 1 28560 3
22 1 2 4 36780 4
23 3 4 5 10980 0
24 2 3 2 18230 1
25 4 5 3 25640 2
26 5 6 1 32870 3
27 3 4 4 9450 0
28 2 3 2 16720 1
29 4 5 3 24350 2
30 5 6 1 31890 4
31 1 2 5 39120 0
32 3 4 2 12890 1
33 4 5 3 20450 2
34 5 6 1 27680 3
35 2 3 4 35210 4
36 3 4 2 11560 0
37 4 5 3 19120 1
38 1 2 5 26890 2
39 5 6 1 34230 3
40 3 4 4 8760 0
41 2 3 2 15980 1
42 4 5 3 23670 2
43 5 6 1 30940 4
44 3 4 5 38450 0
45 1 2 2 13240 1
46 4 5 3 21780 2
47 5 6 1 29120 3
48 2 3 4 36890 4
49 3 4 2 10670 0
50 4 5 3 18340 1
51 5 6 1 25980 2
52 1 2 4 33450 3
53 3 4 5 9230 0
54 2 3 2 16890 1
55 4 5 3 24560 2
56 5 6 1 32120 4
57 3 4 4 39780 0
58 2 3 2 12560 1
59 4 5 3 20230 2
60 5 6 1 27890 3
61 1 2 5 35670 4
62 3 4 2 11340 0
63 4 5 3 19450 1
64 5 6 1 26780 2
65 2 3 4 34120 3
66 3 4 2 8890 0
67 4 5 3 16450 1
68 1 2 5 24230 2
69 5 6 1 31670 4
70 3 4 4 39340 0
71 2 3 2 13780 1
72 4 5 3 21450 2
73 5 6 1 28920 3
74 3 4 5 36560 4
75 1 2 2 10230 0
76 4 5 3 17890 1
77 5 6 1 25670 2
78 2 3 4 33120 3
79 3 4 2 9670 0
80 4 5 3 17340 1
81 5 6 1 24890 2
82 1 2 4 32560 4
83 3 4 5 40120 0
84 2 3 2 12980 1
85 4 5 3 20670 2
86 5 6 1 28340 3
87 3 4 4 35890 4
88 2 3 2 11120 0
89 4 5 3 18780 1
90 5 6 1 26450 2
91 1 2 5 34230 3
92 3 4 2 9340 0
93 4 5 3 16890 1
94 5 6 1 24670 2
95 2 3 4 32120 4
96 3 4 2 39890 0
97 4 5 3 13450 1
98 1 2 5 21230 2
99 5 6 1 28780 3
100 3 4 4 36450 4
101 2 3 2 10560 0
102 4 5 3 18120 1
103 5 6 1 25890 2
104 3 4 5 33670 3
105 1 2 2 9120 0
106 4 5 3 16780 1
107 5 6 1 24340 2
108 2 3 4 32010 4
109 3 4 2 39560 0
110 4 5 3 12890 1
111 5 6 1 20670 2
112 1 2 4 28230 3
113 3 4 5 35980 4
114 2 3 2 11450 0
115 4 5 3 19120 1
116 5 6 1 26560 2
117 3 4 4 34340 3
118 2 3 2 9780 0
119 4 5 3 17450 1
120 5 6 1 25120 2
121 1 2 5 32890 4
122 3 4 2 10340 0
123 4 5 3 18010 1
124 5 6 1 25780 2
125 2 3 4 33450 3
126 3 4 2 8950 0
127 4 5 3 16560 1
128 1 2 5 24230 2
129 5 6 1 31890 4
130 3 4 4 39670 0
131 2 3 2 13120 1
132 4 5 3 20890 2
133 5 6 1 28560 3
134 3 4 5 36230 4
135 1 2 2 10780 0
136 4 5 3 18450 1
137 5 6 1 26120 2
138 2 3 4 33890 3
139 3 4 2 9230 0
140 4 5 3 17010 1
141 5 6 1 24670 2
142 1 2 4 32450 4
143 3 4 5 40230 0
144 2 3 2 12670 1
145 4 5 3 20340 2
146 5 6 1 28120 3
147 3 4 4 35780 4
148 2 3 2 11340 0
149 4 5 3 19010 1
150 5 6 1 26780 2
151 1 2 5 34450 3
152 3 4 2 9560 0
153 4 5 3 17230 1
154 5 6 1 24890 2
155 2 3 4 32670 4
156 3 4 2 10120 0
157 4 5 3 17890 1
158 1 2 5 25560 2
159 5 6 1 33230 3
160 3 4 4 8780 0
161 2 3 2 16450 1
162 4 5 3 24010 2
163 5 6 1 31890 4
164 3 4 5 39450 0
165 1 2 2 13890 1
166 4 5 3 21560 2
167 5 6 1 29230 3
168 2 3 4 36890 4
169 3 4 2 10890 0
170 4 5 3 18670 1
171 5 6 1 26340 2
172 1 2 4 34010 3
173 3 4 5 9450 0
174 2 3 2 17120 1
175 4 5 3 24890 2
176 5 6 1 32560 4
177 3 4 4 40230 0
178 2 3 2 12340 1
179 4 5 3 20010 2
180 5 6 1 27780 3
181 1 2 5 35450 4
182 3 4 2 11010 0
183 4 5 3 18780 1
184 5 6 1 26450 2
185 2 3 4 34120 3
186 3 4 2 9120 0
187 4 5 3 16890 1
188 1 2 5 24560 2
189 5 6 1 32230 4
190 3 4 4 39890 0
191 2 3 2 13560 1
192 4 5 3 21340 2
193 5 6 1 28890 3
194 3 4 5 36670 4
195 1 2 2 10450 0
196 4 5 3 18230 1
197 5 6 1 25890 2
198 2 3 4 33670 3
199 3 4 2 9780 0
200 4 5 3 17560 1
201 5 6 1 25120 2
202 1 2 4 32890 4
203 3 4 5 10560 0
204 2 3 2 18340 1
205 4 5 3 26010 2
206 5 6 1 33780 3
207 3 4 4 9010 0
208 2 3 2 16780 1
209 4 5 3 24450 2
210 5 6 1 32120 4
211 1 2 5 39890 0
212 3 4 2 13230 1
213 4 5 3 21010 2
214 5 6 1 28670 3
215 2 3 4 36450 4
216 3 4 2 11780 0
217 4 5 3 19450 1
218 1 2 5 27230 2
219 5 6 1 34890 3
220 3 4 4 8670 0
221 2 3 2 16340 1
222 4 5 3 24120 2
223 5 6 1 31670 4
224 3 4 5 39340 0
225 1 2 2 13670 1
226 4 5 3 21450 2
227 5 6 1 29120 3
228 2 3 4 36890 4
229 3 4 2 10230 0
230 4 5 3 18010 1
231 5 6 1 25780 2
232 1 2 4 33450 3
233 3 4 5 9890 0
234 2 3 2 17560 1
235 4 5 3 25340 2
236 5 6 1 33010 4
237 3 4 4 40780 0
238 2 3 2 12890 1
239 4 5 3 20560 2
240 5 6 1 28340 3
241 1 2 5 36010 4
242 3 4 2 11560 0
243 4 5 3 19230 1
244 5 6 1 26890 2
245 2 3 4 34670 3
246 3 4 2 9340 0
247 4 5 3 17010 1
248 1 2 5 24780 2
249 5 6 1 32450 4
250 3 4 4 10120 0
251 2 3 2 17890 1
252 4 5 3 25670 2
253 5 6 1 33340 3
254 3 4 5 8560 0
255 1 2 2 16230 1
256 4 5 3 24010 2
257 5 6 1 31560 4
258 2 3 4 39230 0
259 3 4 2 13340 1
260 4 5 3 21120 2
261 5 6 1 28780 3
262 1 2 4 36560 4
263 3 4 5 11010 0
264 2 3 2 18780 1
265 4 5 3 26450 2
266 5 6 1 34230 3
267 3 4 4 9670 0
268 2 3 2 17340 1
269 4 5 3 25010 2
270 5 6 1 32890 4
271 1 2 5 40560 0
272 3 4 2 12780 1
273 4 5 3 20450 2
274 5 6 1 28120 3
275 2 3 4 35890 4
276 3 4 2 11230 0
277 4 5 3 19010 1
278 1 2 5 26670 2
279 5 6 1 34450 3
280 3 4 4 9010 0
281 2 3 2 16780 1
282 4 5 3 24560 2
283 5 6 1 32230 4
284 3 4 5 39890 0
285 1 2 2 13120 1
286 4 5 3 21010 2
287 5 6 1 28670 3
288 2 3 4 36450 4
289 3 4 2 10670 0
290 4 5 3 18450 1
291 5 6 1 26230 2
292 1 2 4 34010 3
293 3 4 5 9230 0
294 2 3 2 17010 1
295 4 5 3 24780 2
296 5 6 1 32560 4
297 3 4 4 10450 0
298 2 3 2 18230 1
299 4 5 3 26010 2
300 5 6 1 33890 3
301 1 2 5 8890 0
302 3 4 2 16560 1
303 4 5 3 24340 2
304 5 6 1 32120 4
305 3 4 4 39670 0
306 2 3 2 13450 1
307 4 5 3 21230 2
308 1 2 5 28890 3
309 5 6 1 36670 4
310 3 4 2 11890 0
311 4 5 3 19670 1
312 5 6 1 27450 2
313 2 3 4 35230 3
314 3 4 2 9560 0
315 4 5 3 17340 1
316 1 2 5 25120 2
317 5 6 1 32890 4
318 3 4 4 10780 0
319 2 3 2 18560 1
320 4 5 3 26340 2
321 5 6 1 34120 3
322 3 4 5 9120 0
323 1 2 2 17010 1
324 4 5 3 24670 2
325 5 6 1 32560 4
326 2 3 4 40230 0
327 3 4 2 12560 1
328 4 5 3 20340 2
329 5 6 1 28010 3
330 1 2 4 35890 4
331 3 4 5 11450 0
332 2 3 2 19230 1
333 4 5 3 27010 2
334 5 6 1 34780 3
335 3 4 4 9340 0
336 2 3 2 17120 1
337 4 5 3 24890 2
338 5 6 1 32670 4
339 1 2 5 10120 0
340 3 4 2 17890 1
341 4 5 3 25670 2
342 5 6 1 33450 3
343 2 3 4 8780 0
344 3 4 2 16450 1
345 4 5 3 24230 2
346 1 2 5 32010 4
347 5 6 1 39780 0
348 3 4 4 13670 1
349 2 3 2 21450 2
350 4 5 3 29230 3
351 5 6 1 37010 4
352 3 4 5 10890 0
353 1 2 2 18670 1
354 4 5 3 26450 2
355 5 6 1 34230 3
356 2 3 4 9450 0
357 3 4 2 17230 1
358 4 5 3 25010 2
359 5 6 1 32890 4
360 1 2 4 40560 0
361 3 4 5 12340 1
362 2 3 2 20120 2
363 4 5 3 27890 3
364 5 6 1 35670 4
365 3 4 4 11230 0
366 2 3 2 19010 1
367 4 5 3 26780 2
368 1 2 5 34560 3
369 5 6 1 9120 0
370 3 4 2 16890 1
371 4 5 3 24670 2
372 5 6 1 32450 4
373 2 3 4 40230 0
374 3 4 2 13010 1
375 4 5 3 20890 2
376 1 2 5 28560 3
377 5 6 1 36450 4
378 3 4 4 11670 0
379 2 3 2 19450 1
380 4 5 3 27230 2
381 5 6 1 35010 3
382 3 4 5 9780 0
